Kilogramos  Libras  Libras  Kilogramos
1         2.2     20      9.0
3         6.6     22      9.0
5         11.0    24      10.0
7         15.4    26      11.0
9         19.8    28      12.0
11        24.2    30      13.0
13        28.6    32      14.0
15        33.0    34      15.0
17        37.4    36      16.0
19        41.8    38      17.0
21        46.2    40      18.0
23        50.6    42      19.0
25        55.0    44      19.0
27        59.4    46      20.0
29        63.8    48      21.0
31        68.2    50      22.0
33        72.6    52      23.0
35        77.0    54      24.0
37        81.4    56      25.0
39        85.8    58      26.0
41        90.2    60      27.0
43        94.6    62      28.0
45        99.0    64      29.0
47        103.4   66      29.0
49        107.8   68      30.0
51        112.2   70      31.0
53        116.6   72      32.0
55        121.0   74      33.0
57        125.4   76      34.0
59        129.8   78      35.0
61        134.2   80      36.0
63        138.6   82      37.0
65        143.0   84      38.0
67        147.4   86      39.0
69        151.8   88      39.0
71        156.2   90      40.0
73        160.6   92      41.0
75        165.0   94      42.0
77        169.4   96      43.0
79        173.8   98      44.0
81        178.2   100     45.0
83        182.6   102     46.0
85        187.0   104     47.0
87        191.4   106     48.0
89        195.8   108     49.0
91        200.2   110     49.0
93        204.6   112     50.0
95        209.0   114     51.0
97        213.4   116     52.0
99        217.8   118     53.0
101       222.2   120     54.0
103       226.6   122     55.0
105       231.0   124     56.0
107       235.4   126     57.0
109       239.8   128     58.0
111       244.2   130     59.0
113       248.6   132     59.0
115       253.0   134     60.0
117       257.4   136     61.0
119       261.8   138     62.0
121       266.2   140     63.0
123       270.6   142     64.0
125       275.0   144     65.0
127       279.4   146     66.0
129       283.8   148     67.0
131       288.2   150     68.0
133       292.6   152     69.0
135       297.0   154     69.0
137       301.4   156     70.0
139       305.8   158     71.0
141       310.2   160     72.0
143       314.6   162     73.0
145       319.0   164     74.0
147       323.4   166     75.0
149       327.8   168     76.0
151       332.2   170     77.0
153       336.6   172     78.0
155       341.0   174     79.0
157       345.4   176     79.0
159       349.8   178     80.0
161       354.2   180     81.0
163       358.6   182     82.0
165       363.0   184     83.0
167       367.4   186     84.0
169       371.8   188     85.0
171       376.2   190     86.0
173       380.6   192     87.0
175       385.0   194     88.0
177       389.4   196     89.0
179       393.8   198     89.0
181       398.2   200     90.0
183       402.6   202     91.0
185       407.0   204     92.0
187       411.4   206     93.0
189       415.8   208     94.0
191       420.2   210     95.0
193       424.6   212     96.0
195       429.0   214     97.0
197       433.4   216     98.0
199       437.8   218     99.0
